UASG,Modalidade da Licitação,Número do Aviso da Licitação,Identificador da Licitação,Tipo do Pregão,Situação do Aviso,Objeto,Informações Gerais,Número do Processo,Tipo de Recurso,Número de Itens na Licitação,Nome do Responsável,Função do Responsável,Data de Entrega do Edital,Endereço de Entrega do Edital,Data de Abertura da Proposta,Data de Entrega da Proposta,Data de Publicação,Itens da licitação > uri
925218: PMSP - COORDENAÇÃO DE VIGILÂNCIA EM SAÚDE,"5: PREGÃO                                            ",108,92521805000000108,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/92521805000000108/itens
120008: MAER-I CENTRO INT.DEF.AER.CONTR.TFG.AEREO/DF,"2: TOMADA DE PREÇOS                                  ",109,12000802000000109,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/12000802000000109/itens
135026: EMBRAPA/CNPDIA,"5: PREGÃO                                            ",109,13502605000000109,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/13502605000000109/itens
160200: PARQUE REGIONAL DE MANUTENCAO/7,"1: CONVITE                                           ",109,16020001000000109,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/16020001000000109/itens
160466: COMANDO 11 BRIGADA INFANTARIA  BLINDADA,"5: PREGÃO                                            ",109,16046605000000109,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/16046605000000109/itens
254423: CENTRO DE PESQUISAS RENE RACHAU,"5: PREGÃO                                            ",109,25442305000000109,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/25442305000000109/itens
154042: UNIVERSIDADE FEDERAL DO RIO GRANDE,"2: TOMADA DE PREÇOS                                  ",110,15404202000000110,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15404202000000110/itens
925809: POLÍCIA MILITAR DO PARÁ,"5: PREGÃO                                            ",110,92580905000000110,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/92580905000000110/itens
926075: FUNDAÇÃO ESTATAL MUNC.DE SAÚDE DE PETROLINA,"5: PREGÃO                                            ",111,92607505000000111,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/92607505000000111/itens
120080: MAER - BASE AEREA DE ANAPOLIS/GO,"5: PREGÃO                                            ",209,12008005000000209,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/12008005000000209/itens
194005: COORDENAÇÃO REGIONAL ALTO PURUS,"5: PREGÃO                                            ",209,19400505000000209,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/19400505000000209/itens
343034: 18ª SUPERINTENDENCIA REGIONAL DO IPHAN,"2: TOMADA DE PREÇOS                                  ",209,34303402000000209,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/34303402000000209/itens
511325: GERÊNCIA EXECUTIVA DO INSS,"5: PREGÃO                                            ",209,51132505000000209,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/51132505000000209/itens
160102: 41 BATALHAO DE INFANTARIA MOTORIZADO-MEX/GO,"1: CONVITE                                           ",210,16010201000000210,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/16010201000000210/itens
160204: 25 BATALHAO DE CACADORES,"5: PREGÃO                                            ",210,16020405000000210,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/16020405000000210/itens
160289: CENTRO DE EST.E PES.E FORTE DUQUE DE CAXIAS,"1: CONVITE                                           ",307,16028901000000307,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/16028901000000307/itens
194012: COORDENAÇÃO REGIONAL DO TAPAJÓS - PA,"5: PREGÃO                                            ",307,19401205000000307,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/19401205000000307/itens
343034: 18ª SUPERINTENDENCIA REGIONAL DO IPHAN,"2: TOMADA DE PREÇOS                                  ",309,34303402000000309,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/34303402000000309/itens
153267: DEP. DE MANUTENCAO E OPERACAO DA INFRAESTRUTU,"5: PREGÃO                                            ",311,15326705000000311,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15326705000000311/itens
153114: UFRS-UNIVERSIDADE FEDERAL DO RS/RS,"2: TOMADA DE PREÇOS                                  ",407,15311402000000407,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15311402000000407/itens
194061: COORDENACAO REGIONAL INTERIOR SUL,"5: PREGÃO                                            ",407,19406105000000407,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/19406105000000407/itens
120060: ACADEMIA DA FORCA AEREA,"5: PREGÃO                                            ",410,12006005000000410,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/12006005000000410/itens
150148: UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,"5: PREGÃO                                            ",437,15014805000000437,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15014805000000437/itens
120072: SEGUNDO CENTRO INT.DEF.AEREA CONTR.TFG.AEREO,"2: TOMADA DE PREÇOS                                  ",610,12007202000000610,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/12007202000000610/itens
160194: COMANDO 7 REGIAO MILITAR/7 DIV DE EXERCITO,"5: PREGÃO                                            ",610,16019405000000610,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/16019405000000610/itens
160371: 29 GRUPO DE ARTILHARIA DE CAMPANHA,"5: PREGÃO                                            ",708,16037105000000708,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/16037105000000708/itens
791180: BASE AEREA NAVAL DE SAO PEDRO DA ALDEIA/RJ,"5: PREGÃO                                            ",708,79118005000000708,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/79118005000000708/itens
254436: CASA DE OSWALDO CRUZ,"5: PREGÃO                                            ",807,25443605000000807,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/25443605000000807/itens
731040: CENTRO TECNOLÓGICO DO CORPO DE FUZILEIROS NAV,"5: PREGÃO                                            ",807,73104005000000807,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/73104005000000807/itens
120060: ACADEMIA DA FORCA AEREA,"5: PREGÃO                                            ",909,12006005000000909,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/12006005000000909/itens
193111: IBAMA - SUPERINTENDENCIA ESTADUAL/MG,"5: PREGÃO                                            ",1208,19311105000001208,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/19311105000001208/itens
120094: QUARTO CENTRO INT. DEF. AEREA CONTR.TFG.AEREO,"5: PREGÃO                                            ",1409,12009405000001409,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/12009405000001409/itens
925803: BANCO DO ESTADO DO PARÁ S/A,"5: PREGÃO                                            ",1411,92580305000001411,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/92580305000001411/itens
925809: POLÍCIA MILITAR DO PARÁ,"5: PREGÃO                                            ",1511,92580905000001511,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/92580905000001511/itens
154042: UNIVERSIDADE FEDERAL DO RIO GRANDE,"5: PREGÃO                                            ",1820,15404205000001820,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15404205000001820/itens
70013: TRIBUNAL REGIONAL ELEITORAL DA BAHIA,"5: PREGÃO                                            ",2001,07001305000002001,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/07001305000002001/itens
200109: MJ-DPRF-DEPART.DE POL.RODOVIARIA FEDERAL/DF,"5: PREGÃO                                            ",2001,20010905000002001,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/20010905000002001/itens
512111: GERÊNCIA EXECUTIVA NITERÓI/RJ,"2: TOMADA DE PREÇOS                                  ",2001,51211102000002001,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/51211102000002001/itens
153033: UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,"2: TOMADA DE PREÇOS                                  ",2002,15303302000002002,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15303302000002002/itens
160088: HOSPITAL MILITAR DE ÁREA DE BRASÍLIA,"2: TOMADA DE PREÇOS                                  ",2002,16008802000002002,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/16008802000002002/itens
160328: LABORATORIO QUIMICO FARMACEUTICO DO EXERCITO,"2: TOMADA DE PREÇOS                                  ",2002,16032802000002002,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/16032802000002002/itens
250014: NÚCLEO ESTADUAL DO MIN. DA SAÚDE/AP,"2: TOMADA DE PREÇOS                                  ",2002,25001402000002002,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/25001402000002002/itens
250023: MS-GERENCIA ESTADUAL DO MIN. DA SAUDE/MT,"5: PREGÃO                                            ",2002,25002305000002002,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/25002305000002002/itens
250052: INSTITUTO NACIONAL DO CANCER - RJ,"2: TOMADA DE PREÇOS                                  ",2002,25005202000002002,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/25005202000002002/itens
255010: FUNDACAO NACIONAL DE SAUDE/FNS/MA,"5: PREGÃO                                            ",2002,25501005000002002,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/25501005000002002/itens
264006: MTB-FUNDACENTRO-U.E.BRASILIA/DF,"5: PREGÃO                                            ",2002,26400605000002002,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/26400605000002002/itens
380051: DELEG.REG. DO TRAB/SANTA CATARINA,"5: PREGÃO                                            ",2002,38005105000002002,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/38005105000002002/itens
511397: GERÊNCIA EXECUTIVA OSASCO/SP,"5: PREGÃO                                            ",2002,51139705000002002,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/51139705000002002/itens
511682: GERÊNCIA EXECUTIVA FEIRA DE SANTANA/BA,"5: PREGÃO                                            ",2002,51168205000002002,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/51168205000002002/itens
512111: GERÊNCIA EXECUTIVA NITERÓI/RJ,"2: TOMADA DE PREÇOS                                  ",2002,51211102000002002,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/51211102000002002/itens
153224: CENTRO FED DE EDUCAÇÃO TECNOLOGICA RIO VERDE,"2: TOMADA DE PREÇOS                                  ",2003,15322402000002003,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15322402000002003/itens
160015: COMANDO 2 GRUPAMENTO ENGENHARIA CNST/MEX/AM,"5: PREGÃO                                            ",2003,16001505000002003,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/16001505000002003/itens
160050: HOSPITAL GERAL DE FORTALEZA/MEX - CE,"5: PREGÃO                                            ",2003,16005005000002003,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/16005005000002003/itens
254462: DIRETORIA DE ADMINISTRAçãO DO CAMPUS-FIOCRUZ,"5: PREGÃO                                            ",2003,25446205000002003,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/25446205000002003/itens
393027: SUP. REGIONAL DO DNIT NO ESTADO DA BAHIA,"2: TOMADA DE PREÇOS                                  ",2003,39302702000002003,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/39302702000002003/itens
60029: JMF/DIR. DO FORO - 2A. CJM,"5: PREGÃO                                            ",2004,06002905000002004,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/06002905000002004/itens
70024: TRIBUNAL REGIONAL ELEITORAL DE RONDONIA,"5: PREGÃO                                            ",2004,07002405000002004,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/07002405000002004/itens
110099: SUPERINT. DE ADMINISTRACAO EM SAO PAULO,"5: PREGÃO                                            ",2004,11009905000002004,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/11009905000002004/itens
130024: SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.,"5: PREGÃO                                            ",2004,13002405000002004,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/13002405000002004/itens
135209: CONAB/SUPERINT.REGIONAL/MT,"2: TOMADA DE PREÇOS                                  ",2004,13520902000002004,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/13520902000002004/itens
153177: UTFPR - CAMPUS SUDOESTE PATO BRANCO,"5: PREGÃO                                            ",2004,15317705000002004,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15317705000002004/itens
154003: MEC-FUCAPES-FUND.COORD.DE AP.NIV.SUPERIOR/DF,"5: PREGÃO                                            ",2004,15400305000002004,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15400305000002004/itens
170108: ALFANDEGA PORTO DE FORTALEZA,"5: PREGÃO                                            ",2004,17010805000002004,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/17010805000002004/itens
250014: NÚCLEO ESTADUAL DO MIN. DA SAÚDE/AP,"5: PREGÃO                                            ",2004,25001405000002004,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/25001405000002004/itens
"253022: COORD.DE VIG.SANIT.DE PORTOS,AEROP.E FRONT..","2: TOMADA DE PREÇOS                                  ",2004,25302202000002004,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/25302202000002004/itens
254438: INSTITUTO NACIONAL DE INFECTOLOGIA - INI,"5: PREGÃO                                            ",2004,25443805000002004,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/25443805000002004/itens
255009: FNS-FUNDACAO NACIONAL DE SAUDE/GO,"5: PREGÃO                                            ",2004,25500905000002004,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/25500905000002004/itens
511853: GERÊNCIA EXECUTIVA POÇOS DE CALDAS/MG,"2: TOMADA DE PREÇOS                                  ",2004,51185302000002004,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/51185302000002004/itens
803050: SERPRO - REGIONAL SALVADOR,"3: CONCORRÊNCIA                                      ",2004,80305003000002004,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/80305003000002004/itens
130024: SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.,"5: PREGÃO                                            ",2005,13002405000002005,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/13002405000002005/itens
153014: CENTRO FEDERAL DE EDUCACAO TECNOLOGICA,"5: PREGÃO                                            ",2005,15301405000002005,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15301405000002005/itens
160012: CENTRO DE INSTRUCAO DE GUERRA NA SELVA/MEX/AM,"5: PREGÃO                                            ",2005,16001205000002005,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/16001205000002005/itens
160295: COM. 09 BRIGADA INFANTARIA MOTORIZADA(ES)/RJ,"2: TOMADA DE PREÇOS                                  ",2005,16029502000002005,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/16029502000002005/itens
160322: HOSPITAL CENTRAL DO EXERCITO/RJ,"2: TOMADA DE PREÇOS                                  ",2005,16032202000002005,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/16032202000002005/itens
373050: SUPER.REG.DO MÉDIO S.FRANCISCO,"5: PREGÃO                                            ",2005,37305005000002005,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/37305005000002005/itens
373052: SUPERINTEND.ESTADUAL DE SERGIPE-INCRA/SR-23,"5: PREGÃO                                            ",2005,37305205000002005,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/37305205000002005/itens
530001: MIN - DEPARTAMENTO DE GESTãO INTERNA,"3: CONCORRÊNCIA                                      ",2005,53000103000002005,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/53000103000002005/itens
160026: COMANDO DE FRONTEIRA(3. BIS)-MEX/AP,"5: PREGÃO                                            ",2006,16002605000002006,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/16002605000002006/itens
160343: 7 BATALHAO DE ENGENHARIA DE COMBATE,"1: CONVITE                                           ",2006,16034301000002006,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/16034301000002006/itens
784700: HOSPITAL NAVAL DE BELEM,"5: PREGÃO                                            ",2006,78470005000002006,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/78470005000002006/itens
789310: CAPITANIA DOS PORTOS DE SAO PAULO,"5: PREGÃO                                            ",2006,78931005000002006,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/78931005000002006/itens
114637: CENTRO DE DOCUMENTAçãO E DISSEMINAçãO DE INF,"5: PREGÃO                                            ",2008,11463705000002008,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/11463705000002008/itens
254448: INSTITUTO NAC. DE CONTROLE E QUALID. EM SAUDE,"5: PREGÃO                                            ",2008,25444805000002008,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/25444805000002008/itens
925425: FUNDAçãO DE APOIO UNIVERSITáRIO - MG,"5: PREGÃO                                            ",2008,92542505000002008,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/92542505000002008/itens
200032: PROCURADORIA REG.DO TRABALHO 5A. REGIAO - BA,"5: PREGÃO                                            ",2009,20003205000002009,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/20003205000002009/itens
264005: FUND. J. D. FIGUEIREDO DE SEG. MED. TRABALHO,"5: PREGÃO                                            ",2009,26400505000002009,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/26400505000002009/itens
925147: REGIONAL DE TRANSMISSÃO DE RORAIMA,"5: PREGÃO                                            ",2009,92514705000002009,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/92514705000002009/itens
275008: ADMINISTRACAO DAS HIDROVIAS DA AMAZONIA OCID.,"5: PREGÃO                                            ",2011,27500805000002011,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/27500805000002011/itens
910847: ELETROBRAS TERMONUCLEAR S/A,"5: PREGÃO                                            ",2107,91084705000002107,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/91084705000002107/itens
925809: POLÍCIA MILITAR DO PARÁ,"5: PREGÃO                                            ",2110,92580905000002110,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/92580905000002110/itens
160472: 5 BATALHAO DE INFANTARIA LEVE - 5 B I L,"5: PREGÃO                                            ",2210,16047205000002210,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/16047205000002210/itens
130102: LABORATORIO NACIONAL AGROPECUARIO LANAGRO/SP,"5: PREGÃO                                            ",2507,13010205000002507,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/13010205000002507/itens
393028: SUP. REG. DO DNIT NO ESTADO DO PARANA,"3: CONCORRÊNCIA                                      ",2509,39302803000002509,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/39302803000002509/itens
153220: ESCOLA AGROTECNICA FEDERAL DE CATU,"5: PREGÃO                                            ",3009,15322005000003009,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15322005000003009/itens
194084: FUNAI-ADM.REG.FUNAI OIAPOQUE/AP,"5: PREGÃO                                            ",3009,19408405000003009,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/19408405000003009/itens
393028: SUP. REG. DO DNIT NO ESTADO DO PARANA,"3: CONCORRÊNCIA                                      ",3109,39302803000003109,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/39302803000003109/itens
153045: UNIVERSIDADE FEDERAL DO CEARA,"2: TOMADA DE PREÇOS                                  ",3208,15304502000003208,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15304502000003208/itens
158195: UNIVERSIDADE FEDERAL DE CAMPINA GRANDE PB,"5: PREGÃO                                            ",3309,15819505000003309,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15819505000003309/itens
130102: LABORATORIO NACIONAL AGROPECUARIO LANAGRO/SP,"5: PREGÃO                                            ",3310,13010205000003310,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/13010205000003310/itens
80010: TRIBUNAL REGIONAL DO TRABALHO DA 2A.REGIAO,"5: PREGÃO                                            ",3511,08001005000003511,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/08001005000003511/itens
150246: MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,"2: TOMADA DE PREÇOS                                  ",4208,15024602000004208,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15024602000004208/itens
135325: CONAB-SEDE SUREG/SP,"5: PREGÃO                                            ",4211,13532505000004211,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/13532505000004211/itens
393003: DEPTO. NAC. DE INFRA-ESTRUTURA DE TRANSPORTES,"3: CONCORRÊNCIA                                      ",4509,39300303000004509,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/39300303000004509/itens
50001: STJ _ SUPERIOR TRIBUNAL DE JUSTICA/DF,"5: PREGÃO                                            ",4910,05000105000004910,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/05000105000004910/itens
393003: DEPTO. NAC. DE INFRA-ESTRUTURA DE TRANSPORTES,"3: CONCORRÊNCIA                                      ",5110,39300303000005110,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/39300303000005110/itens
153045: UNIVERSIDADE FEDERAL DO CEARA,"5: PREGÃO                                            ",5141,15304505000005141,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15304505000005141/itens
80016: TRIBUNAL REGIONAL DO TRABALHO DA 10A.REGIAO,"5: PREGÃO                                            ",5807,08001605000005807,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/08001605000005807/itens
