no_cidade,nome_da_nidade,gid,valor,taxa
"Lençóis","<i>Lençóis</i>","7993","<b>3</b>","3"
"Riachão do Jacuípe","<i>Riachão do Jacuípe</i>","8085","<b>2</b>","2"
"Nova Campina","<i>Nova Campina</i>","8639","<b>0</b>","0"
"Inhapi","<i>Inhapi</i>","10068","<b>2</b>","2"
"Palmeiras","<i>Palmeiras</i>","8050","<b>1</b>","1"
"Padre Carvalho","<i>Padre Carvalho</i>","10752","<b>0</b>","0"
"Pedra Bonita","<i>Pedra Bonita</i>","10780","<b>0</b>","0"
"São Miguel do Guamá","<i>São Miguel do Guamá</i>","5699","<b>2</b>","2"
"Luís Correia","<i>Luís Correia</i>","7010","<b>9</b>","9"
"Medeiros","<i>Medeiros</i>","10689","<b>0</b>","0"
"Cachoeira do Sul","<i>Cachoeira do Sul</i>","9332","<b>3</b>","3"
"Madalena","<i>Madalena</i>","7218","<b>2</b>","2"
"Cajuru","<i>Cajuru</i>","8377","<b>2</b>","2"
"Novo Planalto","<i>Novo Planalto</i>","7608","<b>0</b>","0"
"Iuiú","<i>Iuiú</i>","7966","<b>2</b>","2"
"Areias","<i>Areias</i>","8311","<b>0</b>","0"
"Acauã","<i>Acauã</i>","6892","<b>1</b>","1"
"Rio de Contas","<i>Rio de Contas</i>","8090","<b>1</b>","1"
"Aratiba","<i>Aratiba</i>","9291","<b>0</b>","0"
"Córrego do Ouro","<i>Córrego do Ouro</i>","7508","<b>0</b>","0"
"Entre Rios do Oeste","<i>Entre Rios do Oeste</i>","5838","<b>0</b>","0"
"Urutaí","<i>Urutaí</i>","7680","<b>0</b>","0"
"Mendes","<i>Mendes</i>","8220","<b>2</b>","2"
"Várzea Paulista","<i>Várzea Paulista</i>","8905","<b>4</b>","4"
"Candeias","<i>Candeias</i>","10341","<b>1</b>","1"
"Pereiras","<i>Pereiras</i>","8693","<b>2</b>","2"
"Urussanga","<i>Urussanga</i>","6415","<b>6</b>","6"
"Ilicínea","<i>Ilicínea</i>","10557","<b>2</b>","2"
"Silveiras","<i>Silveiras</i>","8850","<b>0</b>","0"
"Gaspar","<i>Gaspar</i>","6228","<b>4</b>","4"
"Nova Petrópolis","<i>Nova Petrópolis</i>","9552","<b>0</b>","0"
"Curral Novo do Piauí","<i>Curral Novo do Piauí</i>","6962","<b>3</b>","3"
"Pontes Gestal","<i>Pontes Gestal</i>","8721","<b>1</b>","1"
"Ronda Alta","<i>Ronda Alta</i>","9622","<b>1</b>","1"
"Cutias","<i>Cutias</i>","5722","<b>3</b>","3"
"Aliança do Tocantins","<i>Aliança do Tocantins</i>","8918","<b>1</b>","1"
"Eliseu Martins","<i>Eliseu Martins</i>","6969","<b>2</b>","2"
"Entre Rios","<i>Entre Rios</i>","7886","<b>4</b>","4"
"São João da Ponta","<i>São João da Ponta</i>","5696","<b>2</b>","2"
"Redenção do Gurguéia","<i>Redenção do Gurguéia</i>","7060","<b>4</b>","4"
"Ubaporanga","<i>Ubaporanga</i>","11033","<b>0</b>","0"
"Santa Teresinha","<i>Santa Teresinha</i>","8109","<b>3</b>","3"
"Caiuá","<i>Caiuá</i>","8373","<b>0</b>","0"
"Santa Rita do Passa Quatro","<i>Santa Rita do Passa Quatro</i>","8801","<b>3</b>","3"
"Palmeira","<i>Palmeira</i>","5981","<b>7</b>","7"
"Cuiabá","<i>Cuiabá</i>","7337","<b>15</b>","15"
"Itutinga","<i>Itutinga</i>","10601","<b>0</b>","0"
"Caraguatatuba","<i>Caraguatatuba</i>","8391","<b>4</b>","4"
"Maranguape","<i>Maranguape</i>","7220","<b>13</b>","13"
"Mutum","<i>Mutum</i>","10719","<b>5</b>","5"
"Vitória do Xingu","<i>Vitória do Xingu</i>","5716","<b>1</b>","1"
"Prado","<i>Prado</i>","8074","<b>0</b>","0"
"Vazante","<i>Vazante</i>","11049","<b>1</b>","1"
"Cocal","<i>Cocal</i>","6948","<b>5</b>","5"
"Urânia","<i>Urânia</i>","8896","<b>1</b>","1"
"Bento Gonçalves","<i>Bento Gonçalves</i>","9314","<b>5</b>","5"
"Morada Nova de Minas","<i>Morada Nova de Minas</i>","10714","<b>0</b>","0"
"Acaraú","<i>Acaraú</i>","7118","<b>6</b>","6"
"Itaguatins","<i>Itaguatins</i>","8976","<b>1</b>","1"
"Poço Redondo","<i>Poço Redondo</i>","7739","<b>5</b>","5"
"Seritinga","<i>Seritinga</i>","10992","<b>0</b>","0"
"São Pedro","<i>São Pedro</i>","8834","<b>2</b>","2"
"Icém","<i>Icém</i>","8497","<b>1</b>","1"
"Jacutinga","<i>Jacutinga</i>","10605","<b>3</b>","3"
"Anori","<i>Anori</i>","10138","<b>0</b>","0"
"Ribeirão Branco","<i>Ribeirão Branco</i>","8752","<b>1</b>","1"
"Nonoai","<i>Nonoai</i>","9541","<b>2</b>","2"
"Equador","<i>Equador</i>","6465","<b>1</b>","1"
"Rio Negro","<i>Rio Negro</i>","9834","<b>1</b>","1"
"Nova Independência","<i>Nova Independência</i>","8645","<b>0</b>","0"
"São José do Calçado","<i>São José do Calçado</i>","11131","<b>0</b>","0"
"Oliveira Fortes","<i>Oliveira Fortes</i>","10744","<b>0</b>","0"
"Caseiros","<i>Caseiros</i>","9365","<b>0</b>","0"
"Vereda","<i>Vereda</i>","8173","<b>1</b>","1"
"Itacurubi","<i>Itacurubi</i>","9483","<b>0</b>","0"
"Tabocas do Brejo Velho","<i>Tabocas do Brejo Velho</i>","8143","<b>1</b>","1"
"Cruzeiro do Sul","<i>Cruzeiro do Sul</i>","9398","<b>1</b>","1"
"Sooretama","<i>Sooretama</i>","11135","<b>2</b>","2"
"São Miguel do Aleixo","<i>São Miguel do Aleixo</i>","7755","<b>1</b>","1"
"Echaporã","<i>Echaporã</i>","8433","<b>0</b>","0"
"Comendador Gomes","<i>Comendador Gomes</i>","10397","<b>0</b>","0"
"Planaltina","<i>Planaltina</i>","7627","<b>8</b>","8"
"Canindé de São Francisco","<i>Canindé de São Francisco</i>","7697","<b>3</b>","3"
"Bicas","<i>Bicas</i>","10285","<b>0</b>","0"
"Cachoeira de Minas","<i>Cachoeira de Minas</i>","10317","<b>0</b>","0"
"Barbosa","<i>Barbosa</i>","8328","<b>0</b>","0"
"Santa Rita d'Oeste","<i>Santa Rita d'Oeste</i>","8800","<b>0</b>","0"
"Viradouro","<i>Viradouro</i>","8908","<b>1</b>","1"
"Embu-Guaçu","<i>Embu-Guaçu</i>","8439","<b>5</b>","5"
"Iguaba Grande","<i>Iguaba Grande</i>","8206","<b>6</b>","6"
"Guaxupé","<i>Guaxupé</i>","10537","<b>1</b>","1"
"Nova Laranjeiras","<i>Nova Laranjeiras</i>","5968","<b>0</b>","0"
"Aparecida d'Oeste","<i>Aparecida d'Oeste</i>","8299","<b>1</b>","1"
"Cordisburgo","<i>Cordisburgo</i>","10419","<b>1</b>","1"
"Valparaíso","<i>Valparaíso</i>","8901","<b>0</b>","0"
"Araputanga","<i>Araputanga</i>","7311","<b>2</b>","2"
"São Miguel do Tocantins","<i>São Miguel do Tocantins</i>","9038","<b>0</b>","0"
"Cristinápolis","<i>Cristinápolis</i>","7702","<b>7</b>","7"
"São João do Triunfo","<i>São João do Triunfo</i>","6077","<b>2</b>","2"
"Alecrim","<i>Alecrim</i>","9276","<b>0</b>","0"
"Morrinhos do Sul","<i>Morrinhos do Sul</i>","9532","<b>1</b>","1"
"Reserva do Cabaçal","<i>Reserva do Cabaçal</i>","7402","<b>0</b>","0"
"Wanderley","<i>Wanderley</i>","8176","<b>1</b>","1"
"Três Ranchos","<i>Três Ranchos</i>","7672","<b>0</b>","0"
"Nova América","<i>Nova América</i>","7599","<b>1</b>","1"
"Maquiné","<i>Maquiné</i>","9513","<b>1</b>","1"
"Indaial","<i>Indaial</i>","6246","<b>2</b>","2"
"Sananduva","<i>Sananduva</i>","9631","<b>1</b>","1"
"Espigão Alto do Iguaçu","<i>Espigão Alto do Iguaçu</i>","5839","<b>2</b>","2"
"Formosa da Serra Negra","<i>Formosa da Serra Negra</i>","9126","<b>6</b>","6"
"Conde","<i>Conde</i>","6656","<b>1</b>","1"
"Sandovalina","<i>Sandovalina</i>","8781","<b>0</b>","0"
"São Geraldo do Baixio","<i>São Geraldo do Baixio</i>","10930","<b>1</b>","1"
"Palmeira do Piauí","<i>Palmeira do Piauí</i>","7038","<b>2</b>","2"
"Timbaúba","<i>Timbaúba</i>","10019","<b>9</b>","9"
"Pratinha","<i>Pratinha</i>","10830","<b>1</b>","1"
"Maripá de Minas","<i>Maripá de Minas</i>","10675","<b>1</b>","1"
"Janiópolis","<i>Janiópolis</i>","5904","<b>1</b>","1"
"Jenipapo dos Vieiras","<i>Jenipapo dos Vieiras</i>","9149","<b>5</b>","5"
"Estrela do Norte","<i>Estrela do Norte</i>","7523","<b>0</b>","0"
"Colares","<i>Colares</i>","5611","<b>1</b>","1"
"Pequizeiro","<i>Pequizeiro</i>","9011","<b>1</b>","1"
"Mataraca","<i>Mataraca</i>","6711","<b>2</b>","2"
"Palmares Paulista","<i>Palmares Paulista</i>","8666","<b>1</b>","1"
"Coivaras","<i>Coivaras</i>","6951","<b>0</b>","0"
"Vila Nova dos Martírios","<i>Vila Nova dos Martírios</i>","9268","<b>2</b>","2"
"Iomerê","<i>Iomerê</i>","6247","<b>1</b>","1"
"Humberto de Campos","<i>Humberto de Campos</i>","9140","<b>0</b>","0"
"Francisco Badaró","<i>Francisco Badaró</i>","10506","<b>2</b>","2"
"Planura","<i>Planura</i>","10814","<b>2</b>","2"
"Colômbia","<i>Colômbia</i>","8406","<b>1</b>","1"
"Cametá","<i>Cametá</i>","5605","<b>16</b>","16"
"Brasilândia","<i>Brasilândia</i>","9785","<b>1</b>","1"
"Japaratinga","<i>Japaratinga</i>","10071","<b>1</b>","1"
"Indiaporã","<i>Indiaporã</i>","8508","<b>0</b>","0"
"Belmiro Braga","<i>Belmiro Braga</i>","10276","<b>0</b>","0"
"Lagoa Grande","<i>Lagoa Grande</i>","9948","<b>2</b>","2"
"Pescaria Brava","<i>Pescaria Brava</i>","6325","<b>0</b>","0"
"Santa Isabel","<i>Santa Isabel</i>","7645","<b>0</b>","0"
"Bom Jesus dos Perdões","<i>Bom Jesus dos Perdões</i>","8350","<b>1</b>","1"
"Angelândia","<i>Angelândia</i>","10242","<b>1</b>","1"
"Belém do Brejo do Cruz","<i>Belém do Brejo do Cruz</i>","6622","<b>3</b>","3"
"Autazes","<i>Autazes</i>","10141","<b>7</b>","7"
"Cafarnaum","<i>Cafarnaum</i>","7828","<b>2</b>","2"
"Viadutos","<i>Viadutos</i>","9755","<b>0</b>","0"
"Wagner","<i>Wagner</i>","8175","<b>1</b>","1"
"Santo Antônio do Içá","<i>Santo Antônio do Içá</i>","10185","<b>4</b>","4"
"Serra do Navio","<i>Serra do Navio</i>","5718","<b>2</b>","2"
"Bofete","<i>Bofete</i>","8348","<b>1</b>","1"
"Itapiranga","<i>Itapiranga</i>","10165","<b>4</b>","4"
"Anajás","<i>Anajás</i>","5582","<b>2</b>","2"
"Itaguaru","<i>Itaguaru</i>","7557","<b>1</b>","1"
"Frederico Westphalen","<i>Frederico Westphalen</i>","9445","<b>2</b>","2"
"Nicolau Vergueiro","<i>Nicolau Vergueiro</i>","9540","<b>0</b>","0"
"Flexeiras","<i>Flexeiras</i>","10063","<b>4</b>","4"
"Iporanga","<i>Iporanga</i>","8514","<b>1</b>","1"
"Tesouro","<i>Tesouro</i>","7430","<b>0</b>","0"
"Belo Horizonte","<i>Belo Horizonte</i>","10277","<b>30</b>","30"
"Gouvelândia","<i>Gouvelândia</i>","7539","<b>1</b>","1"
"Jaguari","<i>Jaguari</i>","9494","<b>1</b>","1"
"Caturaí","<i>Caturaí</i>","7500","<b>1</b>","1"
"Jaguarão","<i>Jaguarão</i>","9493","<b>2</b>","2"
"Dom Cavati","<i>Dom Cavati</i>","10463","<b>0</b>","0"
"Santa Maria de Jetibá","<i>Santa Maria de Jetibá</i>","11127","<b>5</b>","5"
"Matos Costa","<i>Matos Costa</i>","6292","<b>1</b>","1"
"Vera Cruz","<i>Vera Cruz</i>","8172","<b>2</b>","2"
"Ibiam","<i>Ibiam</i>","6238","<b>1</b>","1"
"Itaguari","<i>Itaguari</i>","7556","<b>0</b>","0"
"Tracunhaém","<i>Tracunhaém</i>","10021","<b>3</b>","3"
"Nordestina","<i>Nordestina</i>","8035","<b>1</b>","1"
"João Lisboa","<i>João Lisboa</i>","9150","<b>4</b>","4"
"Santo Antônio do Amparo","<i>Santo Antônio do Amparo</i>","10909","<b>1</b>","1"
"Colorado","<i>Colorado</i>","9383","<b>1</b>","1"
"Poté","<i>Poté</i>","10824","<b>2</b>","2"
"Cabo Verde","<i>Cabo Verde</i>","10315","<b>1</b>","1"
"Cristais Paulista","<i>Cristais Paulista</i>","8417","<b>0</b>","0"
"Leoberto Leal","<i>Leoberto Leal</i>","6279","<b>0</b>","0"
"Gaúcha do Norte","<i>Gaúcha do Norte</i>","7344","<b>0</b>","0"
"Agudos","<i>Agudos</i>","8278","<b>0</b>","0"
"Itati","<i>Itati</i>","9486","<b>0</b>","0"
"São Manoel do Paraná","<i>São Manoel do Paraná</i>","6084","<b>0</b>","0"
"Amaral Ferrador","<i>Amaral Ferrador</i>","9284","<b>0</b>","0"
"Santo Antônio do Rio Abaixo","<i>Santo Antônio do Rio Abaixo</i>","10916","<b>0</b>","0"
"Bom Despacho","<i>Bom Despacho</i>","10290","<b>5</b>","5"
"Araçoiaba da Serra","<i>Araçoiaba da Serra</i>","8303","<b>2</b>","2"
"Parapuã","<i>Parapuã</i>","8675","<b>1</b>","1"
"Serra Branca","<i>Serra Branca</i>","6795","<b>1</b>","1"
"Rio Claro","<i>Rio Claro</i>","8243","<b>1</b>","1"
"Paraíso do Sul","<i>Paraíso do Sul</i>","9571","<b>0</b>","0"
"Morrinhos","<i>Morrinhos</i>","7590","<b>4</b>","4"
"Vitória de Santo Antão","<i>Vitória de Santo Antão</i>","10031","<b>11</b>","11"
"Vespasiano","<i>Vespasiano</i>","11054","<b>4</b>","4"
"Cruzália","<i>Cruzália</i>","8418","<b>0</b>","0"
"Barreiras","<i>Barreiras</i>","7800","<b>12</b>","12"
"Itaguajé","<i>Itaguajé</i>","5888","<b>0</b>","0"
"Sítio do Quinto","<i>Sítio do Quinto</i>","8140","<b>1</b>","1"
"Oiapoque","<i>Oiapoque</i>","5728","<b>0</b>","0"
"Ibirubá","<i>Ibirubá</i>","9471","<b>1</b>","1"
"Jari","<i>Jari</i>","9496","<b>0</b>","0"
"Santo Amaro","<i>Santo Amaro</i>","8110","<b>7</b>","7"
"Vila Flores","<i>Vila Flores</i>","9759","<b>1</b>","1"
"Milagres","<i>Milagres</i>","7226","<b>6</b>","6"
"Cerqueira César","<i>Cerqueira César</i>","8400","<b>1</b>","1"
"Cantagalo","<i>Cantagalo</i>","5797","<b>0</b>","0"
"Itagimirim","<i>Itagimirim</i>","7943","<b>0</b>","0"
"Alto Parnaíba","<i>Alto Parnaíba</i>","9063","<b>0</b>","0"
"Igaci","<i>Igaci</i>","10066","<b>3</b>","3"
"Várzea da Palma","<i>Várzea da Palma</i>","11047","<b>0</b>","0"
"Penalva","<i>Penalva</i>","9194","<b>3</b>","3"
"Elísio Medrado","<i>Elísio Medrado</i>","7884","<b>1</b>","1"
"Bilac","<i>Bilac</i>","8343","<b>1</b>","1"
"Estiva Gerbi","<i>Estiva Gerbi</i>","8915","<b>1</b>","1"
"Ibirama","<i>Ibirama</i>","6240","<b>2</b>","2"
"Barroso","<i>Barroso</i>","10274","<b>0</b>","0"
"São Lourenço do Oeste","<i>São Lourenço do Oeste</i>","6384","<b>0</b>","0"
"Manacapuru","<i>Manacapuru</i>","10170","<b>10</b>","10"
"Turilândia","<i>Turilândia</i>","9263","<b>0</b>","0"
"Presidente Nereu","<i>Presidente Nereu</i>","6342","<b>1</b>","1"
"Afonso Cláudio","<i>Afonso Cláudio</i>","11065","<b>5</b>","5"
"Dom Aquino","<i>Dom Aquino</i>","7341","<b>1</b>","1"
"Adamantina","<i>Adamantina</i>","8271","<b>1</b>","1"
"Caçapava do Sul","<i>Caçapava do Sul</i>","9330","<b>0</b>","0"
"Alcobaça","<i>Alcobaça</i>","7770","<b>1</b>","1"
"Mandaguari","<i>Mandaguari</i>","5931","<b>3</b>","3"
"Joinville","<i>Joinville</i>","6269","<b>8</b>","8"
"Vista Gaúcha","<i>Vista Gaúcha</i>","9765","<b>0</b>","0"
"Paulicéia","<i>Paulicéia</i>","8680","<b>0</b>","0"
"Planalto da Serra","<i>Planalto da Serra</i>","7389","<b>1</b>","1"
"Charrua","<i>Charrua</i>","9376","<b>0</b>","0"
"Canavieiras","<i>Canavieiras</i>","7838","<b>0</b>","0"
"Maragogipe","<i>Maragogipe</i>","8010","<b>1</b>","1"
"Malhador","<i>Malhador</i>","7723","<b>2</b>","2"
"Pugmil","<i>Pugmil</i>","9022","<b>1</b>","1"
"Jampruca","<i>Jampruca</i>","10608","<b>0</b>","0"
"Petrolina de Goiás","<i>Petrolina de Goiás</i>","7621","<b>1</b>","1"
"Viçosa do Ceará","<i>Viçosa do Ceará</i>","7299","<b>3</b>","3"
"Santo Antônio da Barra","<i>Santo Antônio da Barra</i>","7651","<b>1</b>","1"
"Mata Roma","<i>Mata Roma</i>","9167","<b>4</b>","4"
"General Carneiro","<i>General Carneiro</i>","5856","<b>0</b>","0"
"Pirajuí","<i>Pirajuí</i>","8706","<b>0</b>","0"
"Curvelo","<i>Curvelo</i>","10443","<b>3</b>","3"
"Jussiape","<i>Jussiape</i>","7983","<b>2</b>","2"
"Dores do Indaiá","<i>Dores do Indaiá</i>","10470","<b>1</b>","1"
"Cana Verde","<i>Cana Verde</i>","10340","<b>0</b>","0"
"Itabaianinha","<i>Itabaianinha</i>","7714","<b>4</b>","4"
"São Bento do Tocantins","<i>São Bento do Tocantins</i>","9036","<b>2</b>","2"
"Aracatu","<i>Aracatu</i>","7785","<b>1</b>","1"
"Santa Rosa de Lima","<i>Santa Rosa de Lima</i>","6363","<b>1</b>","1"
"Pedro de Toledo","<i>Pedro de Toledo</i>","8690","<b>1</b>","1"
"Castelândia","<i>Castelândia</i>","7498","<b>1</b>","1"
"Nova Mamoré","<i>Nova Mamoré</i>","6841","<b>1</b>","1"
"Sento Sé","<i>Sento Sé</i>","8133","<b>4</b>","4"
"Santa Bárbara","<i>Santa Bárbara</i>","8098","<b>1</b>","1"
"Alagoinha do Piauí","<i>Alagoinha do Piauí</i>","6895","<b>3</b>","3"
"Itaberá","<i>Itaberá</i>","8519","<b>2</b>","2"
"Alvorada","<i>Alvorada</i>","9283","<b>3</b>","3"
"Santa Bárbara","<i>Santa Bárbara</i>","10875","<b>0</b>","0"
"Santana do Riacho","<i>Santana do Riacho</i>","10899","<b>0</b>","0"
"Ipueira","<i>Ipueira</i>","6480","<b>1</b>","1"
"Maçambará","<i>Maçambará</i>","9510","<b>0</b>","0"
"Nacip Raydan","<i>Nacip Raydan</i>","10721","<b>0</b>","0"
"Manaíra","<i>Manaíra</i>","6706","<b>1</b>","1"
"Açu","<i>Açu</i>","6429","<b>5</b>","5"
"Estrela do Sul","<i>Estrela do Sul</i>","10488","<b>0</b>","0"
"Santa Helena","<i>Santa Helena</i>","9216","<b>1</b>","1"
"Passo de Torres","<i>Passo de Torres</i>","6319","<b>1</b>","1"
"Ibipeba","<i>Ibipeba</i>","7912","<b>5</b>","5"
"Rancho Alegre D'Oeste","<i>Rancho Alegre D'Oeste</i>","6030","<b>1</b>","1"
"Campinas do Sul","<i>Campinas do Sul</i>","9342","<b>1</b>","1"
"Bacabal","<i>Bacabal</i>","9074","<b>2</b>","2"
"Apodi","<i>Apodi</i>","6437","<b>2</b>","2"
"Carmo da Cachoeira","<i>Carmo da Cachoeira</i>","10362","<b>0</b>","0"
"Cajari","<i>Cajari</i>","9099","<b>2</b>","2"
"Presidente Kennedy","<i>Presidente Kennedy</i>","11123","<b>0</b>","0"
"Santa Albertina","<i>Santa Albertina</i>","8783","<b>0</b>","0"
"São Sebastião da Grama","<i>São Sebastião da Grama</i>","8838","<b>1</b>","1"
"Vila Maria","<i>Vila Maria</i>","9761","<b>1</b>","1"
"Colônia Leopoldina","<i>Colônia Leopoldina</i>","10054","<b>5</b>","5"
